country,status,life_expectancy,adult_mortality,Alcohol,healthcoverage_percent,Hepatitis_B,BMI,Polio,total_expenditure,Diphtheria,GDP,Schooling,vaccine_total,vaccine_coverage_over_ave
Afghanistan,Developing,65,263,0.01,71.27962362,65,19.1,6,8.16,65,584.25921,10.1,136,0
Afghanistan,Developing,59.9,271,0.01,73.52358168,62,18.6,58,8.18,62,612.696514,10,182,0
Afghanistan,Developing,59.9,268,0.01,73.21924272,64,18.1,62,8.13,64,631.744976,9.9,190,0
Afghanistan,Developing,59.5,272,0.01,78.1842153,67,17.6,67,8.52,67,669.959,9.8,201,0
Afghanistan,Developing,59.2,275,0.01,7.097108703,68,17.2,68,7.87,68,63.537231,9.5,204,0
Afghanistan,Developing,58.8,279,0.01,79.67936736,66,16.7,66,9.2,66,553.32894,9.2,198,0
Afghanistan,Developing,58.6,281,0.01,56.76221682,63,16.2,63,9.42,63,445.8932979,8.9,189,0
Afghanistan,Developing,58.1,287,0.03,25.87392536,64,15.7,64,8.33,64,373.3611163,8.7,192,0
Afghanistan,Developing,57.5,295,0.02,10.91015598,63,15.2,63,6.73,63,369.835796,8.4,189,0
Afghanistan,Developing,57.3,295,0.03,17.17151751,64,14.7,58,7.43,58,272.56377,8.1,180,0
Afghanistan,Developing,57.3,291,0.02,1.388647732,66,14.2,58,8.7,58,25.2941299,7.9,182,0
Afghanistan,Developing,57,293,0.02,15.29606643,67,13.8,5,8.79,5,219.1413528,6.8,77,0
Afghanistan,Developing,56.7,295,0.01,11.08905273,65,13.4,41,8.82,41,198.7285436,6.5,147,0
Afghanistan,Developing,56.2,3,0.01,16.88735091,64,13,36,7.76,36,187.84595,6.2,136,0
Afghanistan,Developing,55.3,316,0.01,10.5747282,63,12.6,35,7.8,33,117.49698,5.9,131,0
Afghanistan,Developing,54.8,321,0.01,10.42496,62,12.2,24,8.2,24,114.56,5.5,110,0
Albania,Developing,77.8,74,4.6,364.9752287,99,58,99,6,99,3954.22783,14.2,297,1
Albania,Developing,77.5,8,4.51,428.7490668,98,57.2,98,5.88,98,4575.763787,14.2,294,1
Albania,Developing,77.2,84,4.76,430.8769785,99,56.5,99,5.66,99,4414.72314,14.2,297,1
Albania,Developing,76.9,86,5.14,412.4433563,99,55.8,99,5.59,99,4247.61438,14.2,297,1
Albania,Developing,76.6,88,5.37,437.0621,99,55.1,99,5.71,99,4437.17868,13.3,297,1
Albania,Developing,76.2,91,5.28,41.82275719,99,54.3,99,5.34,99,494.358832,12.5,297,1
Albania,Developing,76.1,91,5.79,348.0559517,98,53.5,98,5.79,98,4114.136545,12.2,294,1
Albania,Developing,75.3,1,5.61,36.62206845,99,52.6,99,5.87,99,437.539647,12,297,1
Albania,Developing,75.9,9,5.58,32.24655228,98,51.7,99,6.1,98,363.13685,11.6,295,1
Albania,Developing,74.2,99,5.31,3.3021542,98,5.8,97,5.86,97,35.1293,11.4,292,1
Albania,Developing,73.5,15,5.16,26.99312143,98,49.9,97,6.12,98,279.142931,10.8,293,1
Albania,Developing,73,17,4.54,221.8428,99,48.9,98,6.38,97,2416.588235,10.9,294,1
Albania,Developing,72.8,18,4.29,14.71928882,97,47.9,97,6.27,97,189.681557,10.7,291,1
Albania,Developing,73.3,15,3.73,104.5169157,96,46.9,98,6.3,98,1453.642777,10.7,292,1
Albania,Developing,73.6,14,4.25,96.20557078,96,46,97,6,97,1326.97339,10.6,290,1
Albania,Developing,72.6,11,3.66,91.71154052,96,45,97,6.26,97,1175.788981,10.7,290,1
Algeria,Developing,75.4,11,0.01,54.2373183,95,58.4,95,7.21,95,547.8517,14.4,285,1
Algeria,Developing,75.3,112,0.53,544.4507432,95,57.2,95,7.12,95,5471.866766,14.4,285,1
Algeria,Developing,75.1,113,0.66,555.9260834,95,56.1,95,6.14,95,5564.82566,14.4,285,1
Algeria,Developing,74.9,116,0.56,509.0020405,95,55,95,5.29,95,5432.2523,14,285,1
Algeria,Developing,74.7,119,0.45,430.7175861,95,53.9,95,5.12,95,4463.394675,13.6,285,1
Algeria,Developing,74.4,123,0.5,352.0636419,94,52.8,94,5.36,95,3868.83123,13.1,283,1
Algeria,Developing,74.1,126,0.46,43.08717334,91,51.8,92,4.2,93,495.254866,12.6,276,1
Algeria,Developing,73.8,129,0.44,320.3239241,9,5.8,95,3.82,95,3935.183343,12.3,199,0
Algeria,Developing,73.4,132,0.36,270.2401962,8,49.8,95,3.36,95,3464.6179,12.3,198,0
Algeria,Developing,72.9,136,0.5,2.548922758,83,48.9,88,3.24,88,31.122378,12,259,1
Algeria,Developing,72.3,14,0.45,220.393699,81,47.9,86,3.54,86,2598.9823,11.7,253,1
Angola,Developing,51.7,348,8.33,23.965612,64,22.7,68,3.31,64,479.31224,11.4,196,0
Angola,Developing,51.1,355,8.1,35.95857279,77,22.1,67,4.26,77,484.616884,11.4,221,0
Angola,Developing,56,358,8.24,256.1225243,75,21.5,75,3.3,75,4598.249988,10.3,225,0
Angola,Developing,51,361,8.06,239.8913921,72,21,73,3.38,71,4299.12889,9.4,216,0
Angola,Developing,49.6,365,7.8,191.6537407,77,2.4,81,3.39,77,3529.53482,9,235,0
Angola,Developing,49.1,369,7.01,212.9229325,61,19.8,63,4.37,6,3347.84485,8.5,130,0
Angola,Developing,48.7,371,7.07,249.9101958,69,19.3,65,3.84,69,3868.578883,8.1,203,0
Angola,Developing,48.2,375,6.35,184.8213446,73,18.8,75,3.38,73,2878.837144,7.7,221,0
Antigua and Barbuda,Developing,76.2,131,8.56,2422.999774,99,47,96,5.54,99,12888.29667,13.9,294,1
